,"CC Hard, k=4"
0,3
1,2
2,4
3,3
4,1
5,4
6,4
7,1
8,4
9,4
10,1
11,3
12,1
13,4
14,4
15,4
16,2
17,4
18,4
19,2
20,4
21,2
22,2
23,2
24,2
25,4
26,3
27,4
28,4
29,2
30,3
31,4
32,2
33,3
34,4
35,2
36,2
37,4
38,1
39,1
40,4
41,2
42,3
43,1
44,1
45,2
46,4
47,4
48,4
49,4
50,4
51,4
52,2
53,2
54,1
55,1
56,4
57,2
58,4
59,4
60,4
61,1
62,4
63,4
64,4
65,4
66,1
67,4
68,1
69,4
70,4
71,4
72,1
73,3
74,4
75,4
76,4
77,1
78,4
79,4
80,2
81,3
82,1
83,4
84,4
85,4
86,4
87,4
88,4
89,4
90,4
91,4
92,1
93,4
94,4
95,4
96,4
97,4
98,2
99,4
100,2
101,2
102,1
103,4
104,2
105,3
106,1
107,4
108,4
109,4
110,2
111,4
112,1
113,3
114,4
115,2
116,4
117,4
118,2
119,2
120,4
121,4
122,4
123,2
124,2
125,4
126,4
127,4
128,3
129,4
130,2
131,2
132,2
133,1
134,2
135,2
136,2
137,2
138,4
139,1
140,4
141,2
142,3
143,4
144,1
145,2
146,1
147,4
148,4
149,2
150,4
151,1
152,4
153,1
154,1
155,4
156,3
157,4
158,3
159,4
160,1
161,4
162,4
163,4
164,3
165,2
166,4
167,2
168,4
169,4
170,4
171,4
172,1
173,2
174,4
175,2
176,3
177,2
178,2
179,1
180,4
181,1
182,4
183,2
184,4
185,2
186,4
187,2
188,4
189,1
190,3
191,4
192,2
193,4
194,3
195,4
196,2
197,1
198,4
199,2
200,3
201,2
202,4
203,4
204,1
205,2
206,4
207,2
208,4
209,4
210,4
211,4
212,2
213,1
215,1
216,3
217,1
218,4
219,2
220,2
221,4
222,4
223,3
224,1
225,4
226,3
227,4
228,3
229,4
230,3
231,2
232,2
233,4
234,4
235,4
236,4
237,4
238,4
239,4
240,4
241,4
242,4
243,2
244,3
245,4
246,4
247,3
248,1
249,3
250,4
251,4
253,4
254,4
255,1
256,1
257,1
258,4
259,4
260,2
261,4
262,4
263,4
264,3
265,1
266,2
267,4
268,2
269,4
270,4
271,4
272,4
273,4
274,4
275,2
276,2
277,2
278,1
279,2
280,2
281,4
282,2
283,4
284,3
285,4
286,4
287,2
289,2
291,3
292,3
293,2
294,1
295,1
296,4
297,4
298,3
299,4
300,4
301,4
302,4
303,4
304,4
305,4
306,4
307,4
308,2
309,2
310,4
311,2
312,4
313,4
314,4
315,4
316,4
317,4
318,4
319,4
320,4
321,4
322,4
323,4
324,3
325,4
326,4
327,2
328,1
329,4
330,4
331,4
332,1
333,4
334,4
335,4
336,4
337,4
338,4
339,3
340,2
341,1
342,2
343,4
344,4
345,4
346,4
347,4
348,1
349,4
350,4
351,4
352,3
353,4
354,4
355,1
356,4
357,4
358,4
359,3
360,2
361,1
362,4
363,4
364,4
365,4
366,2
367,2
368,4
369,1
370,1
371,4
372,4
373,4
374,1
375,2
376,4
377,1
378,4
379,3
380,1
381,2
382,4
383,1
384,2
385,3
386,4
387,4
388,1
389,4
390,3
391,4
392,3
