,"CC Hard, k=4"
TCGA-02-0003,2
TCGA-02-0033,4
TCGA-02-0047,2
TCGA-02-0055,4
TCGA-02-2466,2
TCGA-02-2470,2
TCGA-02-2483,4
TCGA-02-2485,4
TCGA-02-2486,2
TCGA-06-0119,1
TCGA-06-0122,2
TCGA-06-0124,3
TCGA-06-0125,2
TCGA-06-0126,2
TCGA-06-0128,4
TCGA-06-0129,4
TCGA-06-0130,4
TCGA-06-0132,2
TCGA-06-0137,4
TCGA-06-0140,2
TCGA-06-0141,2
TCGA-06-0142,2
TCGA-06-0145,2
TCGA-06-0151,2
TCGA-06-0152,2
TCGA-06-0154,3
TCGA-06-0155,3
TCGA-06-0157,3
TCGA-06-0158,2
TCGA-06-0166,3
TCGA-06-0168,3
TCGA-06-0169,2
TCGA-06-0171,2
TCGA-06-0173,2
TCGA-06-0174,2
TCGA-06-0184,4
TCGA-06-0185,2
TCGA-06-0187,3
TCGA-06-0188,4
TCGA-06-0189,4
TCGA-06-0190,4
TCGA-06-0192,3
TCGA-06-0195,4
TCGA-06-0209,2
TCGA-06-0210,2
TCGA-06-0211,2
TCGA-06-0213,3
TCGA-06-0214,2
TCGA-06-0216,3
TCGA-06-0219,2
TCGA-06-0221,4
TCGA-06-0237,2
TCGA-06-0238,2
TCGA-06-0241,4
TCGA-06-0644,3
TCGA-06-0645,2
TCGA-06-0646,2
TCGA-06-0648,2
TCGA-06-0649,2
TCGA-06-0650,3
TCGA-06-0686,2
TCGA-06-0743,3
TCGA-06-0744,4
TCGA-06-0745,2
TCGA-06-0747,2
TCGA-06-0749,3
TCGA-06-0750,2
TCGA-06-0875,4
TCGA-06-0876,3
TCGA-06-0877,2
TCGA-06-0878,2
TCGA-06-0879,2
TCGA-06-0881,3
TCGA-06-0882,3
TCGA-06-0939,2
TCGA-06-1084,2
TCGA-06-1087,4
TCGA-06-1800,4
TCGA-06-1801,2
TCGA-06-1802,2
TCGA-06-1804,3
TCGA-06-1805,2
TCGA-06-1806,2
TCGA-06-2557,2
TCGA-06-2558,4
TCGA-06-2559,3
TCGA-06-2561,2
TCGA-06-2562,1
TCGA-06-2563,2
TCGA-06-2564,2
TCGA-06-2565,3
TCGA-06-2566,2
TCGA-06-2567,4
TCGA-06-2569,4
TCGA-06-2570,4
TCGA-06-5408,1
TCGA-06-5410,2
TCGA-06-5411,3
TCGA-06-5412,3
TCGA-06-5413,2
TCGA-06-5414,2
TCGA-06-5415,2
TCGA-06-5416,2
TCGA-06-5417,4
TCGA-06-5418,3
TCGA-06-5856,2
TCGA-06-5858,4
TCGA-06-5859,2
TCGA-06-6388,2
TCGA-06-6389,4
TCGA-06-6390,2
TCGA-06-6391,2
TCGA-06-6693,3
TCGA-06-6694,4
TCGA-06-6695,2
TCGA-06-6697,2
TCGA-06-6698,2
TCGA-06-6699,2
TCGA-06-6700,2
TCGA-06-6701,4
TCGA-06-A5U0,4
TCGA-06-A5U1,2
TCGA-06-A6S0,2
TCGA-06-A6S1,2
TCGA-06-A7TK,2
TCGA-06-A7TL,4
TCGA-08-0386,2
TCGA-12-0615,2
TCGA-12-0616,2
TCGA-12-0618,4
TCGA-12-0619,1
TCGA-12-0656,3
TCGA-12-0657,2
TCGA-12-0662,4
TCGA-12-0670,2
TCGA-12-0688,2
TCGA-12-0691,2
TCGA-12-0692,2
TCGA-12-0707,4
TCGA-12-0773,2
TCGA-12-0775,3
TCGA-12-0778,2
TCGA-12-0818,4
TCGA-12-0819,2
TCGA-12-0820,2
