,"CC Hard, k=4"
0,3
1,1
2,4
3,3
4,2
5,4
6,4
7,2
8,4
9,4
10,2
11,3
12,2
13,4
14,4
15,4
16,1
17,4
18,4
19,1
20,4
21,1
22,1
23,1
24,1
25,4
26,3
27,4
28,1
29,1
30,3
31,1
32,1
33,3
34,4
35,1
36,1
37,4
38,2
39,1
40,4
41,1
42,1
43,2
44,2
45,1
46,4
47,4
48,4
49,4
50,4
51,4
52,1
53,1
54,2
55,2
56,4
57,1
58,4
59,4
60,4
61,2
62,4
63,3
64,4
65,3
66,2
67,4
68,2
69,4
70,1
71,4
72,3
73,3
74,4
75,1
76,4
77,2
78,4
79,4
80,1
81,3
82,2
83,4
84,3
85,4
86,4
87,4
88,3
89,4
90,4
91,4
92,2
93,4
94,4
95,1
96,4
97,3
98,1
99,4
100,1
101,1
102,2
103,4
104,1
105,3
106,1
107,4
108,4
109,4
110,1
111,4
112,2
113,1
114,4
115,1
116,4
117,4
118,1
119,1
120,4
121,4
122,4
123,1
124,1
125,4
126,4
127,4
128,1
129,4
130,1
131,1
132,1
133,2
134,1
135,1
136,1
137,1
138,3
139,2
140,4
141,1
142,3
143,4
144,2
145,1
146,2
147,4
148,4
149,1
150,4
151,2
152,4
153,2
154,2
155,4
156,3
157,4
158,1
159,4
160,3
161,4
162,4
163,4
164,1
165,1
166,4
167,1
168,4
169,4
170,4
171,4
172,2
173,1
174,4
175,1
176,3
177,1
178,1
179,1
180,4
181,2
182,4
183,1
184,4
185,1
186,4
187,1
188,4
189,2
190,1
191,4
192,1
193,4
194,4
195,4
196,1
197,2
198,4
199,1
200,3
201,1
202,4
203,4
204,2
205,1
206,4
207,1
208,4
209,4
210,4
211,4
212,1
213,2
215,2
216,3
217,2
218,4
219,1
220,1
221,4
222,4
223,3
224,2
225,4
226,1
227,4
228,2
229,4
230,3
231,1
232,1
233,4
234,4
235,4
236,3
237,4
238,4
239,1
240,4
241,1
242,4
243,1
244,1
245,3
246,1
247,3
248,4
249,3
250,4
251,4
253,4
254,4
255,2
256,2
257,2
258,4
259,3
260,1
261,4
262,4
263,4
264,2
265,2
266,1
267,4
268,1
269,4
270,4
271,4
272,4
273,4
274,4
275,1
276,1
277,1
278,2
279,1
280,2
281,3
282,1
283,4
284,3
285,4
286,4
287,1
289,1
291,3
292,1
293,1
294,2
295,2
296,4
297,4
298,3
299,4
300,4
301,4
302,4
303,4
304,4
305,4
306,2
307,4
308,1
309,1
310,4
311,1
312,4
313,4
314,2
315,4
316,2
317,4
318,4
319,4
320,4
321,4
322,4
323,4
324,1
325,4
326,4
327,1
328,2
329,1
330,4
331,4
332,2
333,4
334,1
335,4
336,3
337,4
338,4
339,3
340,1
341,2
342,1
343,4
344,4
345,4
346,4
347,4
348,2
349,4
350,3
351,4
352,3
353,4
354,4
355,2
356,4
357,4
358,1
359,3
360,1
361,2
362,4
363,4
364,4
365,4
366,1
367,1
368,4
369,2
370,2
371,3
372,4
373,4
374,4
375,1
376,4
377,2
378,4
379,3
380,2
381,1
382,4
383,2
384,1
385,3
386,4
387,4
388,2
389,4
390,3
391,4
392,3
