,"CC Hard, k=4"
TCGA-02-0047,2
TCGA-02-0055,3
TCGA-02-2483,1
TCGA-02-2485,4
TCGA-02-2486,2
TCGA-06-0125,4
TCGA-06-0129,1
TCGA-06-0130,1
TCGA-06-0132,4
TCGA-06-0141,2
TCGA-06-0157,4
TCGA-06-0158,4
TCGA-06-0168,3
TCGA-06-0174,2
TCGA-06-0184,3
TCGA-06-0187,3
TCGA-06-0190,3
TCGA-06-0210,1
TCGA-06-0211,4
TCGA-06-0219,2
TCGA-06-0238,1
TCGA-06-0644,3
TCGA-06-0645,2
TCGA-06-0646,2
TCGA-06-0649,2
TCGA-06-0686,2
TCGA-06-0743,3
TCGA-06-0744,1
TCGA-06-0745,2
TCGA-06-0747,2
TCGA-06-0749,4
TCGA-06-0750,4
TCGA-06-0878,2
TCGA-06-0882,3
TCGA-06-1804,4
TCGA-06-2557,1
TCGA-06-2558,3
TCGA-06-2559,3
TCGA-06-2561,4
TCGA-06-2562,2
TCGA-06-2563,4
TCGA-06-2564,2
TCGA-06-2565,4
TCGA-06-2567,4
TCGA-06-2569,1
TCGA-06-2570,1
TCGA-06-5408,2
TCGA-06-5410,2
TCGA-06-5411,3
TCGA-06-5412,3
TCGA-06-5413,2
TCGA-06-5414,2
TCGA-06-5415,2
TCGA-06-5416,1
TCGA-06-5417,1
TCGA-06-5418,3
TCGA-06-5856,4
TCGA-06-5858,3
TCGA-06-5859,2
TCGA-08-0386,1
TCGA-12-0616,4
TCGA-12-0618,3
TCGA-12-0619,1
TCGA-12-0821,2
TCGA-12-1597,3
TCGA-12-3650,2
TCGA-12-3652,4
TCGA-12-3653,1
TCGA-12-5295,2
TCGA-12-5299,2
TCGA-14-0781,3
TCGA-14-0787,2
TCGA-14-0789,4
TCGA-14-0790,4
TCGA-14-0817,1
TCGA-14-0871,1
TCGA-14-1034,3
TCGA-14-1823,2
TCGA-14-1825,1
TCGA-14-1829,2
TCGA-14-2554,4
TCGA-15-0742,4
TCGA-16-0846,3
TCGA-16-1045,3
TCGA-19-1390,1
TCGA-19-1787,3
TCGA-19-2619,2
TCGA-19-2620,4
TCGA-19-2624,4
TCGA-19-2625,3
TCGA-19-2629,2
TCGA-19-4065,1
TCGA-19-5960,2
TCGA-26-1442,1
TCGA-26-5132,1
TCGA-26-5133,1
TCGA-26-5134,2
TCGA-26-5135,2
TCGA-26-5136,1
TCGA-26-5139,4
TCGA-27-1830,3
TCGA-27-1831,4
TCGA-27-1832,2
TCGA-27-1834,3
TCGA-27-1835,4
TCGA-27-1837,3
TCGA-27-2519,3
TCGA-27-2521,1
TCGA-27-2523,2
TCGA-27-2524,3
TCGA-27-2526,3
TCGA-27-2528,4
TCGA-28-1747,4
TCGA-28-1753,3
TCGA-28-2499,2
TCGA-28-2509,3
TCGA-28-2510,4
TCGA-28-2513,2
TCGA-28-2514,2
TCGA-28-5204,2
TCGA-28-5207,4
TCGA-28-5208,2
TCGA-28-5209,4
TCGA-28-5213,4
TCGA-28-5215,1
TCGA-28-5216,3
TCGA-28-5218,1
TCGA-28-5220,2
TCGA-32-1970,1
TCGA-32-1980,4
TCGA-32-1982,3
TCGA-32-2615,2
TCGA-32-2616,1
TCGA-32-2632,2
TCGA-32-2634,3
TCGA-32-2638,2
TCGA-32-4213,3
TCGA-32-5222,3
TCGA-41-2571,3
TCGA-41-2572,2
TCGA-41-3915,3
TCGA-41-4097,3
TCGA-41-5651,2
TCGA-76-4925,3
TCGA-76-4926,4
TCGA-76-4927,4
TCGA-76-4928,2
TCGA-76-4929,1
TCGA-76-4931,4
TCGA-76-4932,2
