,"CC Hard, k=4"
TCGA-02-0047,4
TCGA-02-0055,2
TCGA-02-2483,4
TCGA-02-2485,4
TCGA-02-2486,4
TCGA-06-0125,4
TCGA-06-0129,4
TCGA-06-0130,2
TCGA-06-0132,4
TCGA-06-0141,4
TCGA-06-0157,2
TCGA-06-0158,4
TCGA-06-0168,4
TCGA-06-0174,4
TCGA-06-0184,4
TCGA-06-0187,4
TCGA-06-0190,2
TCGA-06-0210,1
TCGA-06-0211,4
TCGA-06-0219,4
TCGA-06-0238,1
TCGA-06-0644,4
TCGA-06-0645,4
TCGA-06-0646,3
TCGA-06-0649,4
TCGA-06-0686,2
TCGA-06-0743,2
TCGA-06-0744,2
TCGA-06-0745,2
TCGA-06-0747,2
TCGA-06-0749,4
TCGA-06-0750,4
TCGA-06-0878,4
TCGA-06-0882,2
TCGA-06-1804,4
TCGA-06-2557,4
TCGA-06-2558,1
TCGA-06-2559,1
TCGA-06-2561,2
TCGA-06-2562,2
TCGA-06-2563,3
TCGA-06-2564,2
TCGA-06-2565,4
TCGA-06-2567,4
TCGA-06-2569,4
TCGA-06-2570,4
TCGA-06-5408,3
TCGA-06-5410,4
TCGA-06-5411,4
TCGA-06-5412,3
TCGA-06-5413,2
TCGA-06-5414,3
TCGA-06-5415,2
TCGA-06-5416,4
TCGA-06-5417,4
TCGA-06-5418,4
TCGA-06-5856,4
TCGA-06-5858,4
TCGA-06-5859,4
TCGA-08-0386,4
TCGA-12-0616,2
TCGA-12-0618,1
TCGA-12-0619,4
TCGA-12-0821,4
TCGA-12-1597,1
TCGA-12-3650,4
TCGA-12-3652,4
TCGA-12-3653,3
TCGA-12-5295,2
TCGA-12-5299,4
TCGA-14-0781,4
TCGA-14-0787,4
TCGA-14-0789,4
TCGA-14-0790,1
TCGA-14-0817,2
TCGA-14-0871,4
TCGA-14-1034,2
TCGA-14-1823,2
TCGA-14-1825,2
TCGA-14-1829,4
TCGA-14-2554,2
TCGA-15-0742,4
TCGA-16-0846,4
TCGA-16-1045,2
TCGA-19-1390,2
TCGA-19-1787,4
TCGA-19-2619,4
TCGA-19-2620,4
TCGA-19-2624,4
TCGA-19-2625,4
TCGA-19-2629,4
TCGA-19-4065,4
TCGA-19-5960,2
TCGA-26-1442,4
TCGA-26-5132,2
TCGA-26-5133,4
TCGA-26-5134,4
TCGA-26-5135,1
TCGA-26-5136,3
TCGA-26-5139,2
TCGA-27-1830,2
TCGA-27-1831,4
TCGA-27-1832,4
TCGA-27-1834,4
TCGA-27-1835,1
TCGA-27-1837,4
TCGA-27-2519,4
TCGA-27-2521,4
TCGA-27-2523,1
TCGA-27-2524,4
TCGA-27-2526,4
TCGA-27-2528,1
TCGA-28-1747,4
TCGA-28-1753,2
TCGA-28-2499,4
TCGA-28-2509,4
TCGA-28-2510,4
TCGA-28-2513,2
TCGA-28-2514,4
TCGA-28-5204,2
TCGA-28-5207,4
TCGA-28-5208,4
TCGA-28-5209,2
TCGA-28-5213,1
TCGA-28-5215,4
TCGA-28-5216,2
TCGA-28-5218,4
TCGA-28-5220,4
TCGA-32-1970,2
TCGA-32-1980,2
TCGA-32-1982,2
TCGA-32-2615,4
TCGA-32-2616,4
TCGA-32-2632,1
TCGA-32-2634,4
TCGA-32-2638,4
TCGA-32-4213,2
TCGA-32-5222,1
TCGA-41-2571,1
TCGA-41-2572,2
TCGA-41-3915,4
TCGA-41-4097,2
TCGA-41-5651,1
TCGA-76-4925,4
TCGA-76-4926,2
TCGA-76-4927,4
TCGA-76-4928,4
TCGA-76-4929,3
TCGA-76-4931,2
TCGA-76-4932,4
